user_id,course_id,timestamp,engagement_score,completion_status,predicted_engagement_score,assessment_score,feedback_score,age,education_level,learning_style,preferred_topics,title,topic,difficulty,content_type
U133,C015,2023-07-02,0.3488205339694793,In Progress,0.1621833724078774,64,4.4,49,Bachelor,Kinesthetic,Math,Course 15,Data Science,Beginner,Text
U029,C029,2023-06-02,0.11099809879131484,Completed,0.4864423871418745,81,4.43,45,Master,Visual,Art,Course 29,History,Advanced,Quiz
U132,C029,2023-11-11,0.8082352100092222,In Progress,0.7385390394759076,64,4.69,56,Bachelor,Visual,Music,Course 29,History,Advanced,Quiz
U138,C011,2023-11-30,0.9476880259644708,In Progress,0.866855213027066,63,2.57,56,Master,Visual,AI,Course 11,Data Science,Advanced,Video
U184,C032,2023-05-04,0.0723164752579386,In Progress,0.6262592746624267,68,3.9,19,High School,Reading,Music,Course 32,Art,Beginner,Text
U145,C002,2023-04-24,0.9551152072917014,Not Started,0.6690535153169479,88,3.04,39,Bachelor,Visual,Math,Course 2,Math,Intermediate,Quiz
U074,C047,2023-10-05,0.5225765993367452,In Progress,0.12628347258456896,81,3.35,35,Master,Reading,Art,Course 47,Art,Intermediate,Quiz
U017,C014,2023-08-01,0.2995656779538739,Not Started,0.9457764972463472,86,4.46,19,Bachelor,Kinesthetic,History,Course 14,Data Science,Beginner,Text
U084,C020,2023-06-21,0.07686207527616351,Completed,0.13257407748448236,69,2.98,26,PhD,Reading,AI,Course 20,Art,Beginner,Quiz
U069,C022,2023-10-15,0.5006242680704178,Completed,0.7746729371817983,75,4.1,31,Master,Auditory,AI,Course 22,History,Advanced,Quiz
U034,C011,2023-06-23,0.7945155444907487,Not Started,0.2648163217783188,69,4.14,24,High School,Reading,Data Science,Course 11,Data Science,Advanced,Video
U006,C027,2023-04-23,0.7070864772666982,Not Started,0.9335931437012516,65,4.89,56,Bachelor,Kinesthetic,AI,Course 27,AI,Beginner,Quiz
U053,C003,2023-05-02,0.05022601146397376,Not Started,0.7199595393694795,64,4.44,57,PhD,Auditory,Math,Course 3,AI,Advanced,Text
U194,C017,2023-02-01,0.07290183536790351,In Progress,0.753813712978369,65,4.51,43,Bachelor,Auditory,Data Science,Course 17,Data Science,Beginner,Video
U126,C044,2023-08-10,0.4028732826326371,Completed,0.21905917305988332,84,3.83,32,PhD,Visual,Math,Course 44,Music,Advanced,Video
U043,C028,2023-04-29,0.2952904940479433,Not Started,0.4430399766351608,63,2.97,43,PhD,Reading,Art,Course 28,Art,Intermediate,Quiz
U115,C029,2023-02-08,0.23238432305604784,In Progress,0.6178131945892864,91,3.56,52,High School,Visual,Data Science,Course 29,History,Advanced,Quiz
U111,C021,2023-09-25,0.2810044989087136,Completed,0.7699736182066009,94,3.87,39,High School,Kinesthetic,Math,Course 21,AI,Beginner,Quiz
U151,C047,2023-08-21,0.8034827432968846,In Progress,0.10395937591238957,69,4.2,45,High School,Visual,Data Science,Course 47,Art,Intermediate,Quiz
U183,C016,2023-01-18,0.9292280536318539,Completed,0.9623653164545284,93,4.02,34,Master,Auditory,Art,Course 16,History,Intermediate,Quiz
U080,C037,2023-05-29,0.4051026945275664,In Progress,0.890220670554556,95,3.48,32,Bachelor,Kinesthetic,Art,Course 37,Music,Advanced,Quiz
U095,C020,2023-05-29,0.9061110021324971,Completed,0.27034859049558435,65,3.16,22,Bachelor,Reading,History,Course 20,Art,Beginner,Quiz
U118,C006,2023-05-06,0.32149570124788196,Completed,0.822760243032332,75,2.92,20,PhD,Auditory,AI,Course 6,Data Science,Beginner,Text
U144,C019,2023-10-29,0.4764369863437916,In Progress,0.5183239230398234,78,4.23,24,High School,Kinesthetic,History,Course 19,History,Advanced,Quiz
U008,C005,2023-12-26,0.22602899781599972,Not Started,0.46180648156201864,93,4.11,40,Bachelor,Kinesthetic,Math,Course 5,History,Advanced,Text
U132,C003,2023-08-26,0.640476042175844,Completed,0.3144341058114054,84,4.22,56,Bachelor,Visual,Music,Course 3,AI,Advanced,Text
U104,C001,2023-05-15,0.9789811151748089,Not Started,0.5809685866315925,90,3.43,51,Bachelor,Auditory,Data Science,Course 1,Music,Beginner,Quiz
U132,C038,2023-05-31,0.6034930960433786,In Progress,0.7298891177035978,76,3.16,56,Bachelor,Visual,Music,Course 38,Data Science,Beginner,Quiz
U184,C015,2023-08-24,0.35781408411354887,Not Started,0.41093290496275825,89,4.4,19,High School,Reading,Music,Course 15,Data Science,Beginner,Text
U025,C034,2023-08-12,0.6478174459905284,Not Started,0.6292191930082921,90,4.43,39,Master,Kinesthetic,Data Science,Course 34,Music,Beginner,Text
U195,C035,2023-07-22,0.12292067846538757,Not Started,0.6993129211553037,78,3.64,49,Master,Visual,AI,Course 35,Math,Intermediate,Text
U096,C049,2023-09-13,0.8886590802653986,Not Started,0.7111218170152859,94,4.03,59,High School,Auditory,Math,Course 49,AI,Beginner,Quiz
U195,C025,2023-03-27,0.5030839507798364,Not Started,0.05196609813118025,99,1.683254825224843,49,Master,Visual,AI,Course 25,AI,Beginner,Text
U155,C024,2023-05-30,0.44934974203964206,Completed,0.8597478056850669,88,3.43,45,Master,Auditory,Art,Course 24,Music,Beginner,Video
U093,C012,2023-08-23,0.5858647884535192,Completed,0.45825331476504794,60,4.25,52,Master,Visual,History,Course 12,History,Advanced,Text
U160,C018,2023-12-11,0.6247838627894025,Completed,0.26241608169621444,58,4.633640429074278,44,PhD,Reading,Data Science,Course 18,History,Advanced,Video
U178,C015,2023-01-22,0.07177580622651303,In Progress,0.2417645074796816,63,4.59,29,Master,Reading,Data Science,Course 15,Data Science,Beginner,Text
U061,C044,2023-12-14,0.6826172212234024,Not Started,0.48301411284395046,87,4.22,43,Bachelor,Auditory,History,Course 44,Music,Advanced,Video
U122,C016,2023-10-12,0.24193168031552958,Completed,0.8868315394689592,77,3.78,31,Master,Reading,Art,Course 16,History,Intermediate,Quiz
U051,C027,2023-09-26,0.7139526325065898,In Progress,0.3783475816826469,85,3.65,34,Master,Kinesthetic,Art,Course 27,AI,Beginner,Quiz
U147,C008,2023-09-15,0.8225347943841967,Completed,0.7497257467835433,78,4.11,19,PhD,Visual,History,Course 8,History,Advanced,Quiz
U021,C046,2023-01-29,0.8039585075525203,Completed,0.0968187309872186,65,4.2,19,PhD,Visual,Music,Course 46,Math,Beginner,Text
U005,C025,2023-08-01,0.5525009674078891,Not Started,0.4760567021510618,60,3.9,38,PhD,Auditory,AI,Course 25,AI,Beginner,Text
U092,C017,2023-10-10,0.5201698923107512,In Progress,0.9916861403927356,77,2.7442819208772504,52,Bachelor,Reading,Math,Course 17,Data Science,Beginner,Video
U170,C029,2023-02-19,0.14287596133941172,Not Started,0.770437802792337,67,4.06,50,PhD,Visual,AI,Course 29,History,Advanced,Quiz
U061,C008,2023-04-05,0.7753461504031356,Not Started,0.210528488440613,92,2.74,43,Bachelor,Auditory,History,Course 8,History,Advanced,Quiz
