user_id,course_id,timestamp,engagement_score,completion_status,predicted_engagement_score,assessment_score,feedback_score,age,education_level,learning_style,preferred_topics,title,topic,difficulty,content_type,title_ar,topic_ar,difficulty_ar,content_type_ar,learning_style_ar,preferred_topics_ar
U133,C015,2023-07-02,0.3488205339694793,In Progress,0.1621833724078774,64,4.4,49,Bachelor,Kinesthetic,Math,Course 15,Data Science,Beginner,Text,المقرر 15,علم البيانات,مبتدئ,نص,حركي,الرياضيات
U029,C029,2023-06-02,0.1109980987913148,Completed,0.4864423871418745,81,4.43,45,Master,Visual,Art,Course 29,History,Advanced,Quiz,المقرر 29,التاريخ,متقدم,اختبار قصير,بصري,الفن
U132,C029,2023-11-11,0.8082352100092222,In Progress,0.7385390394759076,64,4.69,56,Bachelor,Visual,Music,Course 29,History,Advanced,Quiz,المقرر 29,التاريخ,متقدم,اختبار قصير,بصري,الموسيقى
U138,C011,2023-11-30,0.9476880259644708,In Progress,0.866855213027066,63,2.57,56,Master,Visual,AI,Course 11,Data Science,Advanced,Video,المقرر 11,علم البيانات,متقدم,فيديو,بصري,الذكاء الاصطناعي
U184,C032,2023-05-04,0.0723164752579386,In Progress,0.6262592746624267,68,3.9,19,High School,Reading,Music,Course 32,Art,Beginner,Text,المقرر 32,الفن,مبتدئ,نص,قرائي,الموسيقى
U145,C002,2023-04-24,0.9551152072917014,Not Started,0.6690535153169479,88,3.04,39,Bachelor,Visual,Math,Course 2,Math,Intermediate,Quiz,المقرر 2,الرياضيات,متوسط,اختبار قصير,بصري,الرياضيات
U074,C047,2023-10-05,0.5225765993367452,In Progress,0.1262834725845689,81,3.35,35,Master,Reading,Art,Course 47,Art,Intermediate,Quiz,المقرر 47,الفن,متوسط,اختبار قصير,قرائي,الفن
U017,C014,2023-08-01,0.2995656779538739,Not Started,0.9457764972463472,86,4.46,19,Bachelor,Kinesthetic,History,Course 14,Data Science,Beginner,Text,المقرر 14,علم البيانات,مبتدئ,نص,حركي,التاريخ
U084,C020,2023-06-21,0.0768620752761635,Completed,0.1325740774844823,69,2.98,26,PhD,Reading,AI,Course 20,Art,Beginner,Quiz,المقرر 20,الفن,مبتدئ,اختبار قصير,قرائي,الذكاء الاصطناعي
U069,C022,2023-10-15,0.5006242680704178,Completed,0.7746729371817983,75,4.1,31,Master,Auditory,AI,Course 22,History,Advanced,Quiz,المقرر 22,التاريخ,متقدم,اختبار قصير,سمعي,الذكاء الاصطناعي
